        Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,JUNO CASTINGS PVT LTD,0,9,79,238,79,6,0,0,0,0
LMV,JUNO CASTINGS PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,K. S. INDUSTRIES,0,0,0,0,0,0,0,0,0,8
3W,K. V. INDUSTRIES,0,0,0,0,26,19,10,12,38,19
3W,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,4
2W,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),0,0,0,0,0,0,0,0,0,3
3W,KAKKAR ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,93
3W,KALIKA VAHAN PVT LTD,0,0,0,55,55,39,17,2,2,0
3W,KALINGA VENTURES INDIA PVT LTD,0,0,20,96,250,96,31,110,139,9
LMV,KALINGA VENTURES INDIA PVT LTD,0,0,1,58,7,0,0,0,0,0
3W,KAMAZ INDUSTRIES,0,0,0,6,5,30,9,61,122,42
3W,KANIFA AUTOMOTIVE PVT LTD,0,0,0,0,2,78,1,0,0,0
3W,KAPTECH INDIA PVT LTD,0,0,0,205,657,357,888,1433,1846,1242
3W,KARTAR AGRO ENGINEERS PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,KARTAR AGRO INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,KCAS ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,47,197,105
3W,KELVINATOR INDIA LTD          ,0,0,3,1,0,0,0,0,0,0
3W,KETO MOTORS PVT LTD,0,0,0,0,0,0,190,130,224,364
LMV,KETO MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0
3W,KETRON ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,KGN INDUSTRIES,0,0,0,0,16,8,0,47,405,522
LMV,KGN INDUSTRIES,0,0,0,1,0,0,0,0,0,0
3W,KHALSA  AGRO INDUSTRIES,0,0,429,11,0,21,7,31,3,0
3W,KHALSA E-VEHICLES PVT LTD,0,0,129,1299,1233,607,1214,3712,8478,5591
3W,KHEMRAJ AUTOMOTIVE INDUSTRIES,0,48,352,177,46,13,7,2,0,0
LMV,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,215,438,172
LMV,KION INDIA PVT LTD,2,3,4,0,0,0,0,4,0,0
MMV,KION INDIA PVT LTD,0,2,0,0,0,0,0,0,0,0
LMV,KISAN AGRO INDUSTRIES,2,1,0,0,0,0,0,0,0,0
2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,1175,3487,4173,1889
3W,KLB KOMAKI PVT LTD,0,0,0,77,80,47,34,9,4,192
LMV,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,KNIGHT QUEEN INDUSTRIES PV LTD,8,15,1,0,0,0,0,0,0,0
3W,KNIGHT QUEEN INDUSTRIES PVT LTD,0,3,10,4,0,0,0,0,0,0
3W,KPT INDUSTRIES LTD,0,0,0,14,3,3,4,9,11,3
3W,KRISHNA INDUSTRIES,0,0,1,0,28,39,37,41,5,0
2W,KRT MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0
LMV,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,1,0,0,0,0,0,0,0,0,0
3W,KUMAR MOTORS PVT LTD,0,1,3,0,0,0,0,0,0,0
3W,L & T CASE EQUIPMENT PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,LAKSHMI AGRO INDUSTRIES,6,1,1,0,0,0,0,0,0,0
3W,LAUNCHER MATERIAL HANDLING INDUSTRIES,0,0,0,2,2,0,0,0,0,0
2W,LECTRIX EV PVT LTD,0,0,0,0,0,0,0,2350,6203,2661
3W,LECTRIX EV PVT LTD,0,0,0,0,0,7,876,4646,7288,3785
LMV,LECTRIX EV PVT LTD,0,0,0,0,0,0,0,0,4,1
3W,LEOPAN MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,0,13,4
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,0,0,0,0,0,40,5,0,5,0
3W,LIONIZE AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,0,194
LMV,LIUGONG INDIA PVT. LTD,0,0,0,0,1,0,0,9,0,0
MMV,LIUGONG INDIA PVT. LTD,0,0,0,1,0,0,0,0,0,0
2W,LOG 9 MATERIALS SCIENTIFIC PVT LTD,0,0,0,0,0,0,21,0,0,0
2W,LOHIA AUTO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,LOHIA AUTO INDUSTRIES,5,133,184,666,714,377,511,1523,1644,770
LMV,LOHIA AUTO INDUSTRIES,0,0,0,5,0,0,0,0,0,0
3W,LOHIA AUTO INDUSTRIES LTD.,0,400,420,165,94,54,30,185,20,0
3W,LORDS VEHICLE MFG PVT LTD,0,0,0,0,0,3,65,114,186,50
3W,LUCKY INDUSTRIES,0,0,0,0,0,0,0,0,38,88
3W,M G INDUSTRIES,0,0,0,11,65,41,5,64,145,53
LMV,M G INDUSTRIES,0,0,0,0,1,0,0,0,0,0
3W,M/S HOVEL CYLINDER PVT LTD,0,84,420,45,0,0,0,0,0,0
LMV,M/S HOVEL CYLINDER PVT LTD,0,0,11,1,0,0,0,0,0,0
3W,M/S SHRIRAM AUTO TECH PVT LTD,0,626,2227,2250,1614,692,787,2205,3637,1852
LMV,M/S SHRIRAM AUTO TECH PVT LTD,0,0,1,18,1,0,0,0,0,0
3W,M/S TRISHIKA INDUSTRIES,0,0,0,0,0,0,3,0,0,0
2W,M2GO ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,19,38,4,2,0
3W,M2J E VAHAN PVT LTD,0,0,0,0,17,54,105,50,0,8
3W,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,11
3W,MAA SHAKTI EXIM PVT LTD,23,982,1196,2033,1988,881,1804,2865,2571,1373
LMV,MAA SHAKTI EXIM PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,MAC AUTO INDIA,0,0,147,431,537,248,289,469,564,401
LMV,MAC AUTO INDIA,0,0,0,1,0,0,0,0,0,0
2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,1,27
LMV,MAHALINGA ENGG. INDUSTRIES  ,3,0,0,0,0,0,0,0,0,0
3W,MALAK TECHNO PVT LTD,0,0,0,0,0,0,0,0,52,50
3W,MALHOTRA  VEHICLE MANUFACTURING PVT LTD,0,0,35,47,6,0,0,0,0,0
3W,MALI ENTERPRISES PVT LTD,0,0,0,107,499,103,84,133,10,2
3W,MAN TRUCKS INDIA PVT. LTD.,0,0,14,0,0,0,0,0,0,0
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,0,0,0,16,52,19,0,0,299,766
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,0,0,0,0,0,0,28,173,433,195
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,0,0,0,0,0,4,2,14,4,0
2W,MARUTHISAN PVT LTD,0,0,0,0,0,0,0,84,147,90
LMV,MARUTI SUZUKI INDIA LTD,8,11,8,2,1,0,0,0,0,0
2W,MAULIRAJ INDUSTRIES LLP,0,0,0,0,0,0,0,0,1,1
LMV,MERCEDES-BENZ INDIA PVT LTD,0,0,0,0,0,0,0,94,193,112
3W,MG MOTOR INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,MG MOTOR INDIA PVT LTD,0,0,0,0,7,772,2384,3430,9520,7229
2W,MICROCON I2I PVT LTD,0,0,0,0,0,0,94,0,0,0
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,18,102,12
3W,MOTOR & GENERAL SALES PVT LTD,0,0,0,102,33,1,0,0,0,0
LMV,MOTOR & GENERAL SALES PVT LTD,0,0,0,0,1,0,0,0,0,0
LMV,MOTOROYALE KINETIC PRIVATE LIMITED,0,0,0,0,0,0,0,8,0,0
2W,MOTOVOLT MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,14
3W,MOTRAC MOTORS PVT LTD,0,0,0,128,132,100,111,23,0,0
3W,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,0,0,825,2965,2297
LMV,MSI INDUSTRIES,2,0,0,0,0,0,0,0,0,0
3W,MVM MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,5
3W,NABH MOTORS PVT LTD,0,29,79,86,48,6,5,12,0,0
3W,NAMAH INDUSTRIES PVT LTD,0,0,0,6,91,38,9,4,5,153
3W,NAND ELECTRIC MOTOR VEHICLE PVT LTD,0,0,6,13,30,0,0,0,3,0
3W,NANYA AIRCONN PVT LTD,0,0,14,7,1,0,0,0,0,0
3W,NB TURNED  COMPONENTS PVT LTD,0,0,31,29,13,0,2,0,0,0
LMV,NB TURNED  COMPONENTS PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,NBC ENGINEERING PVT LTD,0,0,0,0,0,0,0,4,0,0
2W,NDS ECO MOTORS PVT LTD,0,0,0,48,648,146,96,28,7,2
3W,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,42,516,573,267,148,354,542,667,357
LMV,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,10,17,5,0,0,0,0,0,0
3W,NEW ARCANA INDIA,9,125,224,361,732,316,602,1331,1253,502
3W,NEW CHAWLA INDUSTRIES,0,0,0,0,0,0,0,0,0,67
3W,NEWTON INDIA INDUSTRIES PVT LTD,0,0,0,0,0,0,12,9,5,0
2W,NEXZU MOBILITY PVT LTD,0,0,0,0,370,96,16,0,0,0
3W,NEXZU MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,NGAGE IMPEX PVT LTD,0,0,0,0,0,0,1,0,0,0
3W,NGAGE WHEEL PVT LTD,0,0,0,0,38,21,7,8,40,10
3W,NIBE MOTORS PVT LTD,0,0,0,0,15,4,1,19,19,0
3W,NICOLAS INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,NIPUN SANYANTRA PVT LTD,0,0,0,1,17,11,290,569,439,138
3W,NIRMAL UTILITY SERVICES PVT LTD,0,0,2,128,158,48,43,77,22,7
2W,NISIKI TECHNOLOGIES PVT LTD,0,0,0,0,0,0,12,167,164,23
3W,NISSAN MOTOR INDIA PVT LTD,0,408,2,0,0,0,0,0,0,0
LMV,NISSAN MOTOR INDIA PVT LTD,0,2,4,0,1,0,0,3,0,0
3W,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,102,468,295,760,1563,2650,2110
2W,NUMEROS MOTORS PVT LTD,0,0,0,0,0,0,0,335,473,150
2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,50,217
3W,OCULUS AUTO INDUSTRIES LLP,0,0,0,0,0,0,0,0,2,3
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,4,81,313,210,39
3W,OGATA MOTORS INDIA PVT LTD,0,0,0,0,87,207,168,160,157,47
3W,OK PLAY INDIA LTD,0,9,336,468,130,64,6,63,125,81
LMV,OK PLAY INDIA LTD,0,0,0,0,7,0,0,0,0,0
2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,8913,15816,4387
2W,OKINAWA AUTOTECH PVT LTD,0,1,331,8452,11850,5754,30659,103620,31616,3893
3W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,0,3,0,0,1,0
LMV,OKINAWA AUTOTECH PVT LTD,0,0,0,1,1,0,0,0,0,0
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0,0,0,0,0,0,240,109398,267355,211273
3W,OLYMPUS INDUSTRIES PVT LTD,0,0,0,3,51,5,10,0,0,0
MMV,OLYMPUS INDUSTRIES PVT LTD,0,0,0,1,0,0,0,0,0,0
2W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,1,0,0,0
3W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,389,1079,1701,1610,672,1448,2930,3304,1461
3W,OM INDUSTRIES,0,0,0,35,12,1,0,0,44,768
3W,OM. INDUSTRIES,0,0,0,0,5,3,4,1,0,0
3W,OMEGA SALES & AGRO INDUSTRIES,0,0,0,0,0,3,12,102,283,188
3W,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,317,2785,3579,4592
LMV,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,32,146,102,61
2W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,15,22,0,0,0,0,0,0
2W,OZOTEC AUTOMOBILE PRIVATE LIMITED,0,0,0,0,0,0,0,93,351,56
3W,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,0,0,4,19,13,2,21,23,11,0
3W,PACE AGRO PRIVATE LIMITED,0,0,11,138,234,115,66,46,41,11
LMV,PACE AGRO PRIVATE LIMITED,0,0,0,1,0,0,0,0,0,0
3W,PACE AGRO PVT LTD,0,0,29,44,3,0,0,0,0,0
3W,PAL DIESAL PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,PANSEN ENGINEERING INDIA PVT LTD,0,0,0,0,41,57,47,0,0,0
3W,PARAS INDUSTRIES,0,0,1,0,0,6,317,1120,3246,1822
LMV,PARAS INDUSTRIES,0,0,0,0,0,0,0,0,1,0
3W,PASHUPATI NATH MOTORS PVT LTD,0,0,1,14,12,2,0,0,0,0
3W,PASHUPATI VEHICLES PVT LTD,0,0,13,17,29,15,2,1,0,0
LMV,PCA AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,1950,916
2W,PIAGGIO VEHICLES PVT LTD,3,7,4,0,0,0,0,0,0,0
3W,PIAGGIO VEHICLES PVT LTD,5,4,3,11,1,79,2247,7431,21079,12869
LMV,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,19,3,10,8
LMV,PINNACLE MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,22,27
3W,PLAUDIT TECHNO INDIA PVT LTD,0,0,271,503,504,255,206,34,18,360
LMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,0,0,1,0,0,0,0,0
MMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,0,0,0,2,1,0,0,5
3W,POOSHPAK AUTOMOBILES PVT LTD,0,0,0,0,0,0,2,1,65,249
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),0,0,0,0,0,0,0,23,214,89
LMV,POWERLAND AGRO TRACTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,9
3W,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,0,0,0,0,0,0,0,6,8,9
3W,PRAGYA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,33,79
3W,PRESTANTIA CREATIONS PVT LTD,0,0,18,23,9,13,21,0,6,11
3W,PRIMA PVT LTD,0,0,0,0,2,0,0,0,0,0
3W,PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,40,99
3W,PUBANG ETRON ELECTRIC MOTOR PVT LTD,0,0,38,1013,2606,1354,457,120,16,12
2W,PUR ENERGY PVT LTD,0,0,0,0,0,720,11044,14953,7191,3143
3W,PURVA UDYOG PVT LTD,0,0,0,0,1,0,13,35,23,8
3W,PUSHKAR INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,PYTHOX MOTORS PVT LTD,0,0,0,0,14,23,45,125,338,462
2W,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),0,0,0,0,0,0,0,0,10,21
3W,RACCOON MOTORS PVT LTD,0,0,0,0,0,7,35,20,18,9
3W,RACHANACREATIONS AUTO PVT LTD,0,0,0,0,0,0,0,0,0,10
3W,RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,12
3W,RAHUL AGRO EXPORTS PVT LTD,0,0,77,90,140,77,18,37,124,42
3W,RAJESH STEEL AND WIRE INDUSTRIES,0,0,18,148,135,57,32,30,8,2
LMV,RAJESH STEEL AND WIRE INDUSTRIES,0,0,0,1,0,0,0,0,0,0
3W,RAJIV RAJ VEHICLES PVT LTD,0,0,1,46,28,35,17,0,0,0
3W,RAMA INDUSTRIES,0,0,0,0,0,0,0,0,4,18
3W,RAMON INDUSTRIES,0,0,0,133,238,63,54,71,114,45
3W,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,0,0,13,129,58,10,10,47,152,150
3W,RASANDIK MOTORS PVT LTD,0,0,12,2,0,0,0,0,0,0
3W,RASIWASIA RASAYAN PVT LTD,0,0,60,22,19,2,1,10,2,4
3W,RCJ AUTO FORGE PVT LTD,0,0,0,0,0,1,54,281,609,530
3W,RDS INDUSTRIES,0,0,0,0,0,0,0,0,0,110
3W,REDDY AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,4
3W,REEP INDUSTRIES PVT LTD,0,0,0,19,40,5,3397,188,1080,759
LMV,REEP INDUSTRIES PVT LTD,0,0,0,0,2,0,0,1,3,0
2W,RENAULT INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,RENAULT INDIA PVT LTD,0,0,14,0,0,0,0,0,0,0
LMV,RENAULT INDIA PVT LTD,2,1,0,0,0,0,0,0,2,0
2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,480,2098,4704,14910,6976,4650
2W,RGM BUSINESS PLUS PVT LTD,0,0,0,0,0,0,408,1564,822,176
3W,RIBAND ELECTRIC PVT LTD,0,0,0,0,0,0,18,200,496,223
3W,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,0,0,162
2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,92,1134
3W,ROARLEO MOTOR PVT LTD,0,0,0,59,88,52,43,136,338,180
2W,ROWWET MOBILITY PVT LTD,0,0,0,0,0,1,60,143,68,260
3W,ROYCE EV PVT LTD,0,0,0,0,0,0,0,0,0,246
3W,RSD SECURITY SOLUTIONS PVT LTD,38,101,309,270,377,87,11,1,1,0
3W,RUDRA AUTO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,RUTBA PRODUCT PVT LTD,0,0,10,328,492,275,415,518,629,405
3W,S AND J INDUSTRIES,0,0,0,79,140,62,49,189,126,44
3W,SAERA ELECTRIC AUTO PVT LTD,140,1203,1532,3226,5080,4153,7098,19314,29321,16408
LMV,SAERA ELECTRIC AUTO PVT LTD,0,0,1,2,0,1,0,0,1,0
MMV,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0
LMV,SAGAR AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,0
3W,SAGAS AUTOTIC PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,1133,5788,5074
2W,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,22,7
3W,SAIFIAN SOLAR PVT LTD,0,0,0,0,0,0,0,0,0,29
LMV,SAKTHI VIJAY INDUSTRIES,0,0,1,0,0,0,0,0,0,0
2W,SAME DEUTZ - FAHR INDIA (P) LTD.,0,1,0,0,0,0,0,0,0,0
3W,SAME DEUTZ - FAHR INDIA (P) LTD.,0,1,2,0,0,0,0,0,0,0
3W,SANCHAL AUTOMOBILES PVT LTD,0,0,0,0,56,22,0,0,0,0
3W,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,10,233,182,341,565,1310,2831,2169
2W,SBTEK E MOTO PVT LTD,0,0,0,0,0,14,46,19,22,8
3W,SCOOTERS INDIA LTD,0,0,1,0,0,5,4,5,1,1
3W,SEALION AUTOMOBILE PVT LTD,0,0,0,0,14,13,22,36,36,13
2W,SEEKA E MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,12
3W,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,0,0,0,40,54,28,23,55,54,37
3W,SETHJI INDUSTRIES,0,0,88,50,6,6,4,0,0,0
3W,SF2 E VEHICLE PVT LTD,0,0,0,0,0,0,0,16,49,14
3W,SGL INDUSTRIES,0,0,0,0,0,1,0,0,0,0
3W,SGLLINE MOTORS PVT LTD,0,0,0,63,28,49,28,60,31,23
3W,SHAILENDRA AUTOS PVT LTD,0,0,0,0,0,0,0,0,40,91
3W,SHAKTIMAN AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,SHALYA AUTO SALES PVT LTD,0,0,0,0,0,0,0,213,617,360
2W,SHEMA E- VEHCILE & SOLAR PVT LTD,0,0,0,0,0,0,0,0,0,1568
3W,SHERA ELECTRICAL AUTO PVT LTD,0,12,11,20,1,1,0,0,0,0
3W,SHINE METAL UDYOG PVT LTD,0,0,19,9,0,0,0,0,0,0
3W,SHINE METAL UDYOG PVT LTD (UNIT- II),0,0,30,92,61,8,10,5,110,138
3W,SHINME ELECTRICAL VEHICLE PVT LTD,0,0,0,0,0,0,0,91,120,72
3W,SHIV OM INDIA,0,0,633,582,209,40,23,69,197,151
LMV,SHIV TRAILOR INDUSTRIES,0,2,2,0,0,0,0,0,0,0
2W,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0
3W,SHRI BARSANA E-VEHICLES PVT LTD,0,0,49,575,794,433,645,1554,4086,3224
LMV,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,2,0
3W,SHRI RAM AUTO TECH PVT LTD,35,469,127,26,0,0,0,4,3,0
3W,SHRI RAM INDUSTRIES,0,0,0,1,0,0,0,0,0,0
3W,SIARSA ELECTRICALS PVT LTD,0,0,13,28,21,0,0,0,0,0
2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,0,0,65,568
3W,SIRF INDIA VEHICLES PVT LTD,0,0,0,24,45,44,24,5,27,53
3W,SITYOG ENGINEERING PVT LTD,0,0,0,0,0,15,1,0,5,2
3W,SIWACH STEEL PVT LTD,0,24,285,331,188,42,47,98,24,8
3W,SIX SENSES AUTOMOTIVE PVT LTD,0,0,0,0,63,8,0,4,12,33
3W,SKS AUTOMOBILES (I) PVT LTD,0,0,20,0,0,0,0,5,2,0
3W,SKS TRADE INDIA PVT LTD,0,0,203,770,1354,854,2236,6308,10078,5687
LMV,SKS TRADE INDIA PVT LTD,0,0,0,0,3,0,0,0,0,1
3W,SKYY RIDER ELECTRIC PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,143
3W,SMARTOMATIC VEHICLES PRIVATE LIMITED,0,0,0,0,0,0,0,0,2,0
3W,SMITH MOTORS PVT LTD,0,0,0,0,0,0,0,0,4,0
2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,0,0,132,232
3W,SONI E VEHICLE PVT LTD,0,41,109,380,320,41,74,173,64,22
LMV,SONI E VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,SONI E VEHICLES PVT LTD,44,252,138,13,0,0,0,0,0,0
3W,SPEEDWAYS ELECTRIC PVT LTD,0,14,11,0,0,0,0,0,0,0
3W,SPEEGO VEHICLES CO PVT LTD,0,33,427,900,913,891,1877,3734,4770,2228
2W,SRIVARU MOTORS PVT LTD,0,0,0,0,0,0,77,60,24,0
3W,SSEV ENTERPRISES PRIVATE LIMITED,0,0,0,0,0,0,0,340,767,620
3W,STANDARD CORPORATION INDIA LTD,0,0,3,0,0,0,0,0,0,0
3W,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,0,0,0,0,12,81,211,570,315
3W,STAR INDUSTRIES,0,0,0,0,0,0,0,0,0,47
3W,SUCCESSPATH MARKETING PVT LTD,0,17,30,6,0,0,0,0,0,0
3W,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,0,0,0,2,0,18,10,4,0,0
3W,SUMFONL AUTO TRADERS PVT LTD,0,0,9,197,345,216,78,77,286,162
3W,SUN INDUSTRIES,0,0,0,0,0,0,0,0,0,207
3W,SUN MOTORS PVT LTD,0,0,6,0,0,0,0,0,0,0
3W,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,0,0,0,11,112
3W,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,0,0,0,36,31
3W,SUNULTRA POWER SOLUTIONS PVT LTD,0,0,0,0,0,9,28,82,142,52
3W,SUPER METRO INDUSTRIES,0,0,0,0,0,1,94,1006,1198,538
3W,SUPREME SMART POWER PVT LTD,0,0,0,0,0,0,64,244,434,219
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,17,24,20,2,1,0,0,9,0,0
3W,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,SWADESHI INDUSTRIES,0,0,0,19,18,0,0,0,0,0
3W,SWARNCHAKRA AUTOMOBILES PVT LTD,0,0,0,0,0,0,15,7,5,4
3W,T U K INDUSTRIES,0,0,0,2,145,161,326,1240,2845,1948
3W,TAO POWER PRIVATE LIMITED,0,0,0,0,0,0,0,6,11,3
3W,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,24,141,16,7,42,1,0
3W,TERRA MOTORS INDIA PVT LTD,0,64,893,2704,3545,2631,3404,7876,8810,4959
LMV,TERRA MOTORS INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,0,0,0,0,8,10
2W,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,48,8
3W,THUKRAL ELECTRIC BIKES PVT LTD,326,1493,1825,2850,3303,1986,3895,5915,7271,3924
3W,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,0,0,1,1273,3139
3W,TOP TEAM MACHINES PVT LTD,0,14,58,919,1103,869,943,1382,1743,809
2W,TORK MOTORS PVT LTD,0,0,0,0,0,1,0,319,1589,931
3W,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,1,0,0,0,0,0,0
LMV,TOYOTA KIRLOSKAR MOTOR PVT LTD,19,24,12,28,3,0,6,1,0,0
LMV,TOYOTA MATERIAL HANDLING INDIA PVT LTD,0,0,0,0,1,0,3,0,0,0
3W,TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,0,0,0,0,9,0,0,0,0,0
3W,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,13,9,57,120
3W,TRISHIKA INDUSTRIES,0,0,0,11,108,146,416,1355,1361,422
3W,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,2,71,61,10,2,0,10,1
3W,TRUZ INDUSTRIES,0,0,0,5,6,0,0,0,3,4
3W,TSM ENGINEERING PVT LTD,0,5,42,47,26,5,0,7,296,227
3W,TUFAN MOTORS PVT LTD,0,0,0,0,208,82,193,391,987,460
2W,TUNWAL E MOTORS PVT LTD,0,0,0,0,0,0,1,58,44,16
3W,TWASHTRE AUTOMOTIVE PVT LTD,0,0,0,0,19,4,6,6,11,6
3W,TWINKLE TRADCOM PVT LTD,0,4,357,356,448,454,311,476,1505,449
2W,TYST DRIVE INDIA PVT LTD,0,0,0,0,0,2,25,40,31,6
3W,U V MOTORS INDIA PVT LTD,0,0,0,45,34,16,0,0,0,0
2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,256,69
3W,UMA  AUTO INDUSTRIES PVT. LTD,0,3,23,126,41,2,1,34,137,50
3W,UMA AUTO INDUSTRIES PVT LTD,0,1,0,6,1,0,0,0,0,0
3W,UNICORN DIGITAL SYSTEMS PVT LTD,0,0,1,2,1,0,3,0,0,0
3W,UNITED TRANSMOVERS PVT LTD,0,0,42,657,788,291,226,321,272,194
3W,V.V.A.AUTO INDUSTRIES PVT.LTD,0,6,3,113,103,152,78,72,26,3
